feature,mean_importance
37_RandomForest_prediction_Tool_Wear_Failure,0.0
22_LightGBM_GoldenFeatures_prediction_Overstrain_Failure,0.0
43_ExtraTrees_SelectedFeatures_prediction_No_Failure,0.0
35_RandomForest_prediction_Heat_Dissipation_Failure,0.0
43_ExtraTrees_SelectedFeatures_prediction_Heat_Dissipation_Failure,0.0
2_Default_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction_Heat_Dissipation_Failure,7.689051182840911e-08
28_CatBoost_prediction_Tool_Wear_Failure,2.2559762372642566e-07
37_RandomForest_prediction_No_Failure,4.368684581007587e-07
31_CatBoost_SelectedFeatures_prediction_Power_Failure,5.079429739207608e-07
65_Xgboost_GoldenFeatures_prediction_Tool_Wear_Failure,7.119660117405058e-07
56_NeuralNetwork_prediction_Power_Failure,1.0837396052523763e-06
45_ExtraTrees_prediction_No_Failure,1.3495229196164305e-06
37_RandomForest_prediction_Power_Failure,1.7536030571446703e-06
27_CatBoost_prediction_Heat_Dissipation_Failure,1.8170006026163588e-06
44_ExtraTrees_prediction_Overstrain_Failure,2.20035360599391e-06
75_LightGBM_GoldenFeatures_prediction_Heat_Dissipation_Failure,2.695163372068432e-06
69_LightGBM_prediction_Heat_Dissipation_Failure,2.859586400397185e-06
49_ExtraTrees_prediction_Power_Failure,3.390760877744481e-06
65_Xgboost_GoldenFeatures_prediction_Overstrain_Failure,3.6920050330915832e-06
75_LightGBM_GoldenFeatures_prediction_Power_Failure,4.15456161386718e-06
71_CatBoost_prediction_No_Failure,4.212706433308344e-06
34_RandomForest_prediction_Power_Failure,5.279794539883586e-06
72_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Overstrain_Failure,5.380899176297971e-06
42_RandomForest_prediction_Heat_Dissipation_Failure,5.587683053449865e-06
34_RandomForest_prediction_Tool_Wear_Failure,5.619026064362931e-06
62_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Overstrain_Failure,5.65457365472033e-06
5_Default_RandomForest_prediction_Tool_Wear_Failure,5.8600578655587656e-06
54_NeuralNetwork_prediction_Power_Failure,6.125443074010695e-06
39_RandomForest_SelectedFeatures_prediction_Overstrain_Failure,6.398890109836353e-06
4_Default_NeuralNetwork_prediction_No_Failure,7.0528660746596585e-06
62_Xgboost_GoldenFeatures_SelectedFeatures_prediction_No_Failure,8.07652716309365e-06
Ensemble_prediction_Tool_Wear_Failure,8.559054646165021e-06
37_RandomForest_prediction_Heat_Dissipation_Failure,9.68714363308587e-06
78_CatBoost_SelectedFeatures_prediction_Overstrain_Failure,9.941506655802845e-06
33_CatBoost_prediction_Heat_Dissipation_Failure,1.0105807932676847e-05
31_CatBoost_SelectedFeatures_prediction_No_Failure,1.0291852206328889e-05
44_ExtraTrees_prediction_Tool_Wear_Failure,1.077292563061577e-05
41_RandomForest_prediction_Heat_Dissipation_Failure,1.1121704934122234e-05
38_RandomForest_prediction_Heat_Dissipation_Failure,1.293015810210213e-05
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction_Tool_Wear_Failure,1.3189948991298994e-05
73_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Power_Failure,1.4292386492274767e-05
29_CatBoost_prediction_No_Failure,1.7133291283105702e-05
61_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Overstrain_Failure,1.88896008477199e-05
33_CatBoost_prediction_No_Failure,2.0040289155751068e-05
78_CatBoost_SelectedFeatures_prediction_Tool_Wear_Failure,2.2013361495909488e-05
44_ExtraTrees_prediction_No_Failure,2.2967419807866372e-05
4_Default_NeuralNetwork_prediction_Overstrain_Failure,2.3268431464811e-05
43_ExtraTrees_prediction_Power_Failure,2.6068371608672926e-05
70_CatBoost_prediction_Power_Failure,2.7180930789399983e-05
57_NeuralNetwork_SelectedFeatures_prediction_Heat_Dissipation_Failure,3.018313157374386e-05
73_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Tool_Wear_Failure,3.0236490184844256e-05
76_LightGBM_GoldenFeatures_prediction_Heat_Dissipation_Failure,3.571014158989666e-05
40_RandomForest_prediction_Power_Failure,3.6609287619576716e-05
18_LightGBM_prediction_Power_Failure,3.843316636460703e-05
74_Xgboost_GoldenFeatures_prediction_Tool_Wear_Failure,3.846958838683717e-05
78_CatBoost_SelectedFeatures_prediction_Power_Failure,3.942921512784386e-05
5_Default_RandomForest_prediction_Power_Failure,4.0832059115730734e-05
